1,Python
2,Engineering
3,Computer System Validation
4,Financial Risk Management
5,GIS
10,JavaScript Libraries
11,DBMS
12,Servers
13,Electronic Payments
14,JSON
15,Data Integration
16,iPad Development
17,Microsoft SQL Server
18,IT Solutions
19,SDK
20,Fortran
21,Cybercrime
22,Erlang
23,3D Modeling
24,Java
25,TCP/IP
26,NTFS
27,UDP
28,JSLint
29,E-commerce
30,Functional Specifications
31,Oracle
32,Project Implementation
33,Ethernet
34,Data Management
35,User Interface Design
36,JSP
37,Animation
1,GUI
2,VMware Server
3,Network Design
4,Software Implementation
5,SharePoint Server
10,DDoS
11,Xerces
12,Data Collection
13,Cisco Routers
14,iOS Development
15,Data Warehousing
16,C++
17,Failure Analysis
18,Software Design
19,Data Mining
20,User Acceptance Testing
21,Security Awareness
22,XAMPP
23,LaTeX
24,Scheduling
25,Firewalls
26,Routing Protocols
27,Linux System Administration
28,ZigBee
29,Apache
30,SSL Certificates
31,HTML
32,IT Hardware Support
33,System Testing
34,Web Design
35,Cyber-security
36,Software Quality Assurance
37,Security Audits
1,Client Services
2,3D Visualization
3,WiFi
4,Web Services
5,CSS
10,SQL
11,PL/SQL
12,MySQL
13,Team Leadership
14,Project Management
15,Python
16,Engineering
17,Computer System Validation
18,Financial Risk Management
19,GIS
20,Virtual PC
21,jQuery Mobile
22,Design Patterns
23,Digital Illustration
24,JavaScript Libraries
25,DBMS
26,Servers
27,Electronic Payments
28,JSON
29,Data Integration
30,iPad Development
31,Microsoft SQL Server
32,IT Solutions
33,SDK
34,Fortran
35,Cybercrime
36,Erlang
37,Java
